testdata,packed_item_count,SU
dataset_episode_012,24,0.6350
dataset_episode_040,31,0.6130
dataset_episode_051,26,0.6120
dataset_episode_068,28,0.5780
dataset_episode_1105,29,0.5720
dataset_episode_1163,21,0.3580
dataset_episode_1250,17,0.3880
dataset_episode_131,26,0.5820
dataset_episode_1340,24,0.4520
dataset_episode_1463,27,0.6440
dataset_episode_1588,23,0.5360
dataset_episode_1623,21,0.6050
dataset_episode_1685,18,0.5420
dataset_episode_1725,27,0.5590
dataset_episode_173,29,0.5920
dataset_episode_1821,25,0.5410
dataset_episode_1956,24,0.5540
dataset_episode_202,25,0.7450
dataset_episode_2080,30,0.6490
dataset_episode_2151,20,0.3380
dataset_episode_2230,29,0.5960
dataset_episode_2413,29,0.5430
dataset_episode_2596,22,0.6190
dataset_episode_261,22,0.4960
dataset_episode_2632,16,0.4050
dataset_episode_2708,22,0.5330
dataset_episode_2731,28,0.6170
dataset_episode_2788,27,0.6330
dataset_episode_2814,27,0.5020
dataset_episode_285,23,0.6300
dataset_episode_2909,27,0.5740
dataset_episode_2943,32,0.6360
dataset_episode_2983,21,0.4590
dataset_episode_2989,29,0.5920
dataset_episode_2999,15,0.3310
dataset_episode_313,24,0.6530
dataset_episode_327,24,0.6300
dataset_episode_367,22,0.5210
dataset_episode_488,20,0.4610
dataset_episode_497,27,0.4690
dataset_episode_534,26,0.6050
dataset_episode_590,20,0.4380
dataset_episode_613,25,0.6350
dataset_episode_653,20,0.5070
dataset_episode_741,27,0.6590
dataset_episode_785,24,0.8750
dataset_episode_824,27,0.5990
dataset_episode_858,17,0.3640
dataset_episode_870,26,0.5260
dataset_episode_971,26,0.6210

__MEAN__,24.380,0.5565
__STD__,3.994,0.1039
