testdata,packed_item_count,SU
dataset_episode_012,8,0.1660
dataset_episode_040,18,0.3180
dataset_episode_051,17,0.4080
dataset_episode_068,18,0.4180
dataset_episode_1105,28,0.5120
dataset_episode_1163,22,0.3780
dataset_episode_1250,21,0.5170
dataset_episode_131,19,0.4660
dataset_episode_1340,17,0.2680
dataset_episode_1463,19,0.5140
dataset_episode_1588,21,0.4360
dataset_episode_1623,10,0.3050
dataset_episode_1685,15,0.4520
dataset_episode_1725,22,0.4780
dataset_episode_173,21,0.4300
dataset_episode_1821,24,0.4910
dataset_episode_1956,16,0.3540
dataset_episode_202,19,0.5530
dataset_episode_2080,23,0.5190
dataset_episode_2151,13,0.1830
dataset_episode_2230,23,0.4530
dataset_episode_2413,25,0.4730
dataset_episode_2596,22,0.6160
dataset_episode_261,23,0.5260
dataset_episode_2632,14,0.3490
dataset_episode_2708,21,0.4950
dataset_episode_2731,16,0.2890
dataset_episode_2788,20,0.4700
dataset_episode_2814,14,0.2690
dataset_episode_285,15,0.4150
dataset_episode_2909,27,0.5750
dataset_episode_2943,19,0.4020
dataset_episode_2983,27,0.5790
dataset_episode_2989,12,0.1280
dataset_episode_2999,14,0.2950
dataset_episode_313,20,0.5870
dataset_episode_327,14,0.4160
dataset_episode_367,14,0.4430
dataset_episode_488,19,0.3990
dataset_episode_497,18,0.3360
dataset_episode_534,19,0.4350
dataset_episode_590,19,0.3980
dataset_episode_613,24,0.5150
dataset_episode_653,20,0.6120
dataset_episode_741,8,0.2750
dataset_episode_785,11,0.4130
dataset_episode_824,24,0.4810
dataset_episode_858,17,0.3640
dataset_episode_870,19,0.4630
dataset_episode_971,21,0.4160

__MEAN__,18.600,0.4211
__STD__,4.677,0.1115

