testdata,packed_item_count,SU
dataset_episode_012,23,0.5850
dataset_episode_040,29,0.5110
dataset_episode_051,23,0.5610
dataset_episode_068,30,0.6860
dataset_episode_1105,28,0.5120
dataset_episode_1163,22,0.3900
dataset_episode_1250,26,0.5410
dataset_episode_131,27,0.6070
dataset_episode_1340,23,0.3920
dataset_episode_1463,28,0.7240
dataset_episode_1588,21,0.4560
dataset_episode_1623,15,0.5210
dataset_episode_1685,19,0.6190
dataset_episode_1725,24,0.4830
dataset_episode_173,25,0.5730
dataset_episode_1821,25,0.5410
dataset_episode_1956,28,0.5540
dataset_episode_202,23,0.6950
dataset_episode_2080,25,0.5590
dataset_episode_2151,22,0.4450
dataset_episode_2230,29,0.6010
dataset_episode_2413,25,0.4610
dataset_episode_2596,22,0.6160
dataset_episode_261,30,0.6970
dataset_episode_2632,23,0.5690
dataset_episode_2708,21,0.4930
dataset_episode_2731,18,0.3540
dataset_episode_2788,21,0.4770
dataset_episode_2814,19,0.3490
dataset_episode_285,22,0.6140
dataset_episode_2909,19,0.4660
dataset_episode_2943,33,0.6760
dataset_episode_2983,29,0.5430
dataset_episode_2989,27,0.5780
dataset_episode_2999,22,0.5400
dataset_episode_313,20,0.6060
dataset_episode_327,20,0.5360
dataset_episode_367,27,0.6420
dataset_episode_488,25,0.5590
dataset_episode_497,31,0.5680
dataset_episode_534,25,0.5850
dataset_episode_590,24,0.5600
dataset_episode_613,26,0.5750
dataset_episode_653,18,0.5430
dataset_episode_741,26,0.6540
dataset_episode_785,23,0.7410
dataset_episode_824,24,0.4810
dataset_episode_858,20,0.4920
dataset_episode_870,26,0.6060
dataset_episode_971,25,0.5960

__MEAN__,24.120,0.5547
__STD__,3.788,0.0886
