1, 0.110000, 32
2, 0.108000, 44
3, 0.094000, 74
4, 0.142000, 94
5, 0.202000, 120
6, 0.222000, 148
7, 0.192000, 158
8, 0.160000, 174
9, 0.180000, 206
10, 0.173000, 232
11, 0.197000, 250
12, 0.183000, 262
13, 0.195000, 278
14, 0.186000, 290
15, 0.286000, 310
16, 0.324000, 338
17, 0.344000, 378
17, 0.216000, 406
19, 0.228000, 404
19, 0.210000, 412
20, 0.219000, 412
21, 0.223000, 450
23, 0.248000, 492
24, 0.250000, 534
25, 0.268000, 546
26, 0.262000, 560
26, 0.262000, 572
26, 0.252000, 584
27, 0.262000, 610
28, 0.272000, 628
29, 0.282000, 662
29, 0.282000, 662
