testdata,packed_item_count,SU
dataset_episode_012,22,0.5370
dataset_episode_040,24,0.4840
dataset_episode_051,23,0.5570
dataset_episode_068,25,0.5230
dataset_episode_1105,28,0.5120
dataset_episode_1163,26,0.4630
dataset_episode_1250,16,0.3270
dataset_episode_131,26,0.5820
dataset_episode_1340,21,0.4600
dataset_episode_1463,21,0.5650
dataset_episode_1588,21,0.4360
dataset_episode_1623,12,0.3750
dataset_episode_1685,18,0.5420
dataset_episode_1725,16,0.2990
dataset_episode_173,24,0.4930
dataset_episode_1821,25,0.5410
dataset_episode_1956,21,0.5260
dataset_episode_202,14,0.4120
dataset_episode_2080,15,0.3830
dataset_episode_2151,13,0.1830
dataset_episode_2230,27,0.5390
dataset_episode_2413,20,0.3820
dataset_episode_2596,18,0.5180
dataset_episode_261,22,0.5140
dataset_episode_2632,23,0.5090
dataset_episode_2708,21,0.4930
dataset_episode_2731,17,0.3290
dataset_episode_2788,21,0.4950
dataset_episode_2814,19,0.3340
dataset_episode_285,22,0.5900
dataset_episode_2909,12,0.2820
dataset_episode_2943,19,0.4400
dataset_episode_2983,20,0.3590
dataset_episode_2989,18,0.2920
dataset_episode_2999,12,0.2400
dataset_episode_313,20,0.5710
dataset_episode_327,19,0.5040
dataset_episode_367,23,0.5510
dataset_episode_488,21,0.4080
dataset_episode_497,23,0.4260
dataset_episode_534,19,0.4050
dataset_episode_590,19,0.3980
dataset_episode_613,24,0.4950
dataset_episode_653,20,0.5070
dataset_episode_741,17,0.4520
dataset_episode_785,12,0.4930
dataset_episode_824,19,0.4020
dataset_episode_858,22,0.5300
dataset_episode_870,20,0.4180
dataset_episode_971,23,0.4520

__MEAN__,20.060,0.4506
__STD__,4.002,0.0947
