0, 0.000000, 0
1, 0.110000, 22
2, 0.108000, 22
3, 0.094000, 40
4, 0.142000, 46
5, 0.202000, 42
6, 0.222000, 52
7, 0.192000, 72
8, 0.160000, 62
9, 0.180000, 76
10, 0.173000, 64
11, 0.197000, 74
12, 0.183000, 78
13, 0.195000, 86
14, 0.186000, 90
15, 0.286000, 88
14, 0.174000, 92
15, 0.194000, 94
17, 0.216000, 112
19, 0.228000, 124
19, 0.210000, 126
21, 0.244000, 130
21, 0.223000, 134
23, 0.248000, 142
24, 0.250000, 146
25, 0.268000, 150
26, 0.262000, 154
27, 0.322000, 150
26, 0.252000, 154
27, 0.262000, 156
28, 0.272000, 156
29, 0.282000, 158
