testdata,packed_item_count,SU
dataset_episode_012,11,0.3020
dataset_episode_040,24,0.4480
dataset_episode_051,16,0.4080
dataset_episode_068,21,0.4690
dataset_episode_1105,28,0.4920
dataset_episode_1163,12,0.2080
dataset_episode_1250,19,0.4070
dataset_episode_131,19,0.4660
dataset_episode_1340,24,0.4520
dataset_episode_1463,23,0.5950
dataset_episode_1588,15,0.2650
dataset_episode_1623,10,0.3490
dataset_episode_1685,18,0.5440
dataset_episode_1725,24,0.4830
dataset_episode_173,24,0.4930
dataset_episode_1821,23,0.4870
dataset_episode_1956,24,0.4610
dataset_episode_202,13,0.3760
dataset_episode_2080,17,0.4140
dataset_episode_2151,20,0.3770
dataset_episode_2230,22,0.4030
dataset_episode_2413,25,0.4730
dataset_episode_2596,17,0.4300
dataset_episode_261,18,0.4050
dataset_episode_2632,20,0.4550
dataset_episode_2708,15,0.3050
dataset_episode_2731,20,0.4740
dataset_episode_2788,25,0.5720
dataset_episode_2814,25,0.4610
dataset_episode_285,21,0.5300
dataset_episode_2909,27,0.5740
dataset_episode_2943,19,0.3920
dataset_episode_2983,16,0.2640
dataset_episode_2989,20,0.2960
dataset_episode_2999,15,0.3310
dataset_episode_313,15,0.4000
dataset_episode_327,13,0.3710
dataset_episode_367,13,0.4030
dataset_episode_488,20,0.3600
dataset_episode_497,27,0.4690
dataset_episode_534,23,0.5420
dataset_episode_590,17,0.3460
dataset_episode_613,21,0.4270
dataset_episode_653,19,0.4830
dataset_episode_741,23,0.4890
dataset_episode_785,12,0.4880
dataset_episode_824,24,0.5410
dataset_episode_858,18,0.4240
dataset_episode_870,20,0.4790
dataset_episode_971,22,0.4360

__MEAN__,19.540,0.4304
__STD__,4.518,0.0846
