testdata,packed_item_count,SU
dataset_episode_012,11,0.1940
dataset_episode_040,13,0.1450
dataset_episode_051,14,0.3470
dataset_episode_068,11,0.2890
dataset_episode_1105,14,0.2170
dataset_episode_1163,17,0.3850
dataset_episode_1250,11,0.1880
dataset_episode_131,12,0.3330
dataset_episode_1340,15,0.2270
dataset_episode_1463,18,0.4640
dataset_episode_1588,13,0.3860
dataset_episode_1623,16,0.4660
dataset_episode_1685,15,0.4730
dataset_episode_1725,20,0.2820
dataset_episode_173,13,0.3680
dataset_episode_1821,15,0.1920
dataset_episode_1956,16,0.3490
dataset_episode_202,11,0.3060
dataset_episode_2080,19,0.3840
dataset_episode_2151,16,0.2800
dataset_episode_2230,12,0.1990
dataset_episode_2413,20,0.2680
dataset_episode_2596,16,0.3350
dataset_episode_261,14,0.2910
dataset_episode_2632,15,0.1980
dataset_episode_2708,10,0.2240
dataset_episode_2731,14,0.3300
dataset_episode_2788,14,0.2460
dataset_episode_2814,15,0.3390
dataset_episode_285,13,0.2800
dataset_episode_2909,16,0.3720
dataset_episode_2943,12,0.2350
dataset_episode_2983,12,0.1900
dataset_episode_2989,14,0.1750
dataset_episode_2999,13,0.2330
dataset_episode_313,18,0.3580
dataset_episode_327,11,0.2970
dataset_episode_367,16,0.2470
dataset_episode_488,14,0.4300
dataset_episode_497,14,0.3480
dataset_episode_534,16,0.4040
dataset_episode_590,12,0.2300
dataset_episode_613,14,0.2950
dataset_episode_653,13,0.3190
dataset_episode_741,17,0.3530
dataset_episode_785,14,0.2240
dataset_episode_824,9,0.2190
dataset_episode_858,19,0.2980
dataset_episode_870,21,0.3740
dataset_episode_971,18,0.3030

__MEAN__,14.520,0.2978
__STD__,2.742,0.0817
