testdata,packed_item_count,SU
dataset_episode_012,22,0.5370
dataset_episode_040,30,0.5710
dataset_episode_051,25,0.5820
dataset_episode_068,28,0.6460
dataset_episode_1105,28,0.4770
dataset_episode_1163,27,0.5510
dataset_episode_1250,26,0.5410
dataset_episode_131,27,0.6820
dataset_episode_1340,23,0.4670
dataset_episode_1463,26,0.6790
dataset_episode_1588,21,0.4640
dataset_episode_1623,20,0.6360
dataset_episode_1685,18,0.5440
dataset_episode_1725,22,0.4880
dataset_episode_173,25,0.5880
dataset_episode_1821,25,0.5410
dataset_episode_1956,30,0.6260
dataset_episode_202,19,0.5890
dataset_episode_2080,26,0.6190
dataset_episode_2151,23,0.4460
dataset_episode_2230,33,0.7220
dataset_episode_2413,29,0.5430
dataset_episode_2596,15,0.3260
dataset_episode_261,29,0.6170
dataset_episode_2632,20,0.4550
dataset_episode_2708,21,0.4930
dataset_episode_2731,18,0.3410
dataset_episode_2788,25,0.5770
dataset_episode_2814,28,0.5970
dataset_episode_285,24,0.6570
dataset_episode_2909,28,0.6220
dataset_episode_2943,27,0.5360
dataset_episode_2983,23,0.4280
dataset_episode_2989,27,0.5080
dataset_episode_2999,23,0.6400
dataset_episode_313,20,0.5710
dataset_episode_327,23,0.6910
dataset_episode_367,30,0.7540
dataset_episode_488,27,0.6130
dataset_episode_497,31,0.5680
dataset_episode_534,23,0.5070
dataset_episode_590,19,0.3980
dataset_episode_613,27,0.6050
dataset_episode_653,15,0.5260
dataset_episode_741,23,0.5290
dataset_episode_785,23,0.7360
dataset_episode_824,25,0.5560
dataset_episode_858,23,0.5550
dataset_episode_870,24,0.5720
dataset_episode_971,23,0.4870

__MEAN__,24.340,0.5601
__STD__,4.003,0.0920
