1, 0.110000, 12
2, 0.108000, 20
3, 0.094000, 20
4, 0.142000, 24
5, 0.202000, 28
6, 0.222000, 28
7, 0.192000, 38
8, 0.160000, 36
9, 0.180000, 36
10, 0.173000, 32
11, 0.197000, 38
12, 0.183000, 44
13, 0.195000, 50
14, 0.186000, 54
15, 0.286000, 50
14, 0.174000, 52
15, 0.194000, 54
17, 0.216000, 58
19, 0.228000, 52
20, 0.235000, 54
21, 0.244000, 54
21, 0.223000, 74
23, 0.248000, 76
24, 0.250000, 70
25, 0.268000, 84
26, 0.262000, 86
26, 0.262000, 86
26, 0.252000, 90
27, 0.262000, 90
28, 0.272000, 94
29, 0.282000, 98
29, 0.282000, 98
