testdata,packed_item_count,SU
dataset_episode_012,21,0.5120
dataset_episode_040,20,0.4080
dataset_episode_051,19,0.4430
dataset_episode_068,14,0.3200
dataset_episode_1105,16,0.3130
dataset_episode_1163,15,0.2550
dataset_episode_1250,16,0.3270
dataset_episode_131,19,0.4360
dataset_episode_1340,18,0.2930
dataset_episode_1463,12,0.3520
dataset_episode_1588,22,0.4960
dataset_episode_1623,15,0.4860
dataset_episode_1685,16,0.4820
dataset_episode_1725,16,0.2990
dataset_episode_173,23,0.5040
dataset_episode_1821,24,0.5230
dataset_episode_1956,9,0.2530
dataset_episode_202,19,0.6030
dataset_episode_2080,17,0.4790
dataset_episode_2151,22,0.4450
dataset_episode_2230,26,0.5090
dataset_episode_2413,20,0.3570
dataset_episode_2596,15,0.3260
dataset_episode_261,23,0.5260
dataset_episode_2632,14,0.3390
dataset_episode_2708,20,0.4290
dataset_episode_2731,23,0.4570
dataset_episode_2788,20,0.4630
dataset_episode_2814,21,0.3820
dataset_episode_285,21,0.5550
dataset_episode_2909,20,0.3670
dataset_episode_2943,22,0.4740
dataset_episode_2983,20,0.3590
dataset_episode_2989,24,0.4720
dataset_episode_2999,12,0.2410
dataset_episode_313,18,0.5550
dataset_episode_327,15,0.4250
dataset_episode_367,14,0.4430
dataset_episode_488,20,0.4350
dataset_episode_497,27,0.5700
dataset_episode_534,18,0.4170
dataset_episode_590,24,0.5200
dataset_episode_613,24,0.5230
dataset_episode_653,20,0.6080
dataset_episode_741,15,0.3540
dataset_episode_785,11,0.4130
dataset_episode_824,19,0.3770
dataset_episode_858,20,0.4620
dataset_episode_870,13,0.2980
dataset_episode_971,14,0.2450

__MEAN__,18.520,0.4226
__STD__,4.087,0.0964
