testdata,packed_item_count,SU
dataset_episode_012,24,0.6650
dataset_episode_040,33,0.6230
dataset_episode_051,26,0.6620
dataset_episode_068,28,0.6460
dataset_episode_1105,28,0.5120
dataset_episode_1163,22,0.3900
dataset_episode_1250,26,0.6430
dataset_episode_131,19,0.4660
dataset_episode_1340,24,0.4520
dataset_episode_1463,26,0.6790
dataset_episode_1588,22,0.4760
dataset_episode_1623,14,0.4620
dataset_episode_1685,16,0.4820
dataset_episode_1725,24,0.5380
dataset_episode_173,32,0.6820
dataset_episode_1821,24,0.5410
dataset_episode_1956,29,0.6610
dataset_episode_202,19,0.5530
dataset_episode_2080,23,0.5190
dataset_episode_2151,13,0.1830
dataset_episode_2230,28,0.5560
dataset_episode_2413,28,0.5740
dataset_episode_2596,19,0.5420
dataset_episode_261,26,0.5750
dataset_episode_2632,14,0.3390
dataset_episode_2708,26,0.6810
dataset_episode_2731,18,0.3410
dataset_episode_2788,27,0.6180
dataset_episode_2814,28,0.5970
dataset_episode_285,21,0.5500
dataset_episode_2909,25,0.5240
dataset_episode_2943,30,0.6430
dataset_episode_2983,21,0.4840
dataset_episode_2989,20,0.3510
dataset_episode_2999,21,0.5700
dataset_episode_313,24,0.6530
dataset_episode_327,24,0.6750
dataset_episode_367,27,0.6420
dataset_episode_488,20,0.4230
dataset_episode_497,27,0.4940
dataset_episode_534,26,0.6200
dataset_episode_590,20,0.4380
dataset_episode_613,24,0.5230
dataset_episode_653,18,0.4590
dataset_episode_741,27,0.6590
dataset_episode_785,23,0.7750
dataset_episode_824,31,0.7340
dataset_episode_858,18,0.3940
dataset_episode_870,14,0.3110
dataset_episode_971,27,0.6690

__MEAN__,23.480,0.5450
__STD__,4.833,0.1221
