testdata,packed_item_count,SU
dataset_episode_012,27,0.6650
dataset_episode_040,31,0.6130
dataset_episode_051,23,0.5570
dataset_episode_068,31,0.6420
dataset_episode_1105,28,0.5120
dataset_episode_1163,30,0.6090
dataset_episode_1250,17,0.3730
dataset_episode_131,27,0.6070
dataset_episode_1340,24,0.4910
dataset_episode_1463,28,0.7240
dataset_episode_1588,23,0.5960
dataset_episode_1623,19,0.6060
dataset_episode_1685,21,0.6920
dataset_episode_1725,27,0.5890
dataset_episode_173,32,0.6820
dataset_episode_1821,30,0.6760
dataset_episode_1956,27,0.6140
dataset_episode_202,22,0.6710
dataset_episode_2080,23,0.5190
dataset_episode_2151,25,0.5260
dataset_episode_2230,23,0.4510
dataset_episode_2413,29,0.5550
dataset_episode_2596,19,0.5230
dataset_episode_261,26,0.5750
dataset_episode_2632,14,0.3390
dataset_episode_2708,24,0.6200
dataset_episode_2731,23,0.4570
dataset_episode_2788,25,0.5870
dataset_episode_2814,28,0.5220
dataset_episode_285,24,0.6740
dataset_episode_2909,30,0.6520
dataset_episode_2943,29,0.6010
dataset_episode_2983,20,0.3590
dataset_episode_2989,29,0.5920
dataset_episode_2999,15,0.3760
dataset_episode_313,23,0.6290
dataset_episode_327,21,0.6450
dataset_episode_367,28,0.6740
dataset_episode_488,17,0.3150
dataset_episode_497,33,0.6840
dataset_episode_534,26,0.6200
dataset_episode_590,20,0.4380
dataset_episode_613,26,0.5750
dataset_episode_653,21,0.5310
dataset_episode_741,26,0.7190
dataset_episode_785,23,0.7360
dataset_episode_824,24,0.5160
dataset_episode_858,19,0.4840
dataset_episode_870,28,0.6660
dataset_episode_971,26,0.6210

__MEAN__,24.680,0.5740
__STD__,4.438,0.1038
