testdata,packed_item_count,SU
dataset_episode_012,28,0.6950
dataset_episode_040,24,0.4480
dataset_episode_051,21,0.5390
dataset_episode_068,26,0.5380
dataset_episode_1105,27,0.4320
dataset_episode_1163,28,0.5230
dataset_episode_1250,30,0.7110
dataset_episode_131,26,0.6320
dataset_episode_1340,23,0.4620
dataset_episode_1463,27,0.6990
dataset_episode_1588,24,0.6560
dataset_episode_1623,15,0.4860
dataset_episode_1685,16,0.4920
dataset_episode_1725,13,0.2570
dataset_episode_173,33,0.6620
dataset_episode_1821,32,0.6880
dataset_episode_1956,26,0.4890
dataset_episode_202,23,0.6750
dataset_episode_2080,31,0.7160
dataset_episode_2151,13,0.1830
dataset_episode_2230,27,0.5790
dataset_episode_2413,34,0.6440
dataset_episode_2596,18,0.4780
dataset_episode_261,30,0.6770
dataset_episode_2632,20,0.4550
dataset_episode_2708,21,0.4950
dataset_episode_2731,23,0.4570
dataset_episode_2788,20,0.4700
dataset_episode_2814,28,0.5970
dataset_episode_285,22,0.5900
dataset_episode_2909,27,0.5790
dataset_episode_2943,30,0.6130
dataset_episode_2983,26,0.4540
dataset_episode_2989,33,0.6790
dataset_episode_2999,14,0.2950
dataset_episode_313,20,0.6060
dataset_episode_327,20,0.5200
dataset_episode_367,25,0.6090
dataset_episode_488,21,0.4850
dataset_episode_497,28,0.5540
dataset_episode_534,26,0.6200
dataset_episode_590,25,0.5800
dataset_episode_613,31,0.7130
dataset_episode_653,24,0.6750
dataset_episode_741,23,0.5950
dataset_episode_785,21,0.7580
dataset_episode_824,25,0.5790
dataset_episode_858,28,0.6890
dataset_episode_870,22,0.5080
dataset_episode_971,25,0.5560

__MEAN__,24.460,0.5618
__STD__,5.144,0.1199
