testdata,packed_item_count,SU
dataset_episode_012,23,0.6170
dataset_episode_040,31,0.6130
dataset_episode_051,23,0.5610
dataset_episode_068,26,0.7050
dataset_episode_1105,29,0.5570
dataset_episode_1163,21,0.3380
dataset_episode_1250,26,0.5450
dataset_episode_131,26,0.5820
dataset_episode_1340,24,0.4910
dataset_episode_1463,27,0.6440
dataset_episode_1588,26,0.6860
dataset_episode_1623,28,0.7280
dataset_episode_1685,16,0.5020
dataset_episode_1725,16,0.2990
dataset_episode_173,32,0.6420
dataset_episode_1821,32,0.7020
dataset_episode_1956,26,0.4890
dataset_episode_202,19,0.5530
dataset_episode_2080,25,0.5710
dataset_episode_2151,20,0.3620
dataset_episode_2230,28,0.5660
dataset_episode_2413,29,0.5710
dataset_episode_2596,16,0.4300
dataset_episode_261,29,0.6170
dataset_episode_2632,14,0.3390
dataset_episode_2708,22,0.5680
dataset_episode_2731,23,0.4570
dataset_episode_2788,20,0.4550
dataset_episode_2814,14,0.2690
dataset_episode_285,26,0.7920
dataset_episode_2909,18,0.4500
dataset_episode_2943,24,0.5260
dataset_episode_2983,29,0.5430
dataset_episode_2989,29,0.6050
dataset_episode_2999,15,0.3310
dataset_episode_313,18,0.5070
dataset_episode_327,21,0.6000
dataset_episode_367,28,0.6790
dataset_episode_488,24,0.5990
dataset_episode_497,23,0.4260
dataset_episode_534,27,0.6600
dataset_episode_590,21,0.5130
dataset_episode_613,29,0.6340
dataset_episode_653,15,0.4160
dataset_episode_741,27,0.6590
dataset_episode_785,15,0.5900
dataset_episode_824,27,0.6070
dataset_episode_858,28,0.6810
dataset_episode_870,15,0.3960
dataset_episode_971,14,0.2450

__MEAN__,23.280,0.5384
__STD__,5.357,0.1262
