testdata,packed_item_count,SU
dataset_episode_012,15,0.3360
dataset_episode_040,15,0.1490
dataset_episode_051,17,0.3800
dataset_episode_068,9,0.1900
dataset_episode_1105,15,0.3050
dataset_episode_1163,14,0.1990
dataset_episode_1250,12,0.2110
dataset_episode_131,12,0.3260
dataset_episode_1340,9,0.1590
dataset_episode_1463,18,0.4690
dataset_episode_1588,15,0.4370
dataset_episode_1623,18,0.5220
dataset_episode_1685,12,0.3470
dataset_episode_1725,14,0.2020
dataset_episode_173,13,0.3890
dataset_episode_1821,16,0.3540
dataset_episode_1956,15,0.3000
dataset_episode_202,13,0.3510
dataset_episode_2080,16,0.3940
dataset_episode_2151,21,0.3090
dataset_episode_2230,12,0.2090
dataset_episode_2413,11,0.1840
dataset_episode_2596,15,0.3560
dataset_episode_261,15,0.3680
dataset_episode_2632,12,0.2030
dataset_episode_2708,8,0.1590
dataset_episode_2731,16,0.2770
dataset_episode_2788,14,0.3560
dataset_episode_2814,14,0.2800
dataset_episode_285,11,0.3710
dataset_episode_2909,12,0.3410
dataset_episode_2943,17,0.3260
dataset_episode_2983,18,0.2600
dataset_episode_2989,8,0.0870
dataset_episode_2999,17,0.3300
dataset_episode_313,16,0.3520
dataset_episode_327,12,0.3570
dataset_episode_367,19,0.2960
dataset_episode_488,13,0.3700
dataset_episode_497,16,0.2450
dataset_episode_534,14,0.3100
dataset_episode_590,11,0.1850
dataset_episode_613,14,0.1850
dataset_episode_653,14,0.2820
dataset_episode_741,18,0.4550
dataset_episode_785,10,0.3610
dataset_episode_824,11,0.1630
dataset_episode_858,10,0.1590
dataset_episode_870,11,0.2090
dataset_episode_971,16,0.2390

__MEAN__,13.880,0.2921
__STD__,2.946,0.0954
