testdata,packed_item_count,SU
dataset_episode_012,23,0.5850
dataset_episode_040,24,0.4780
dataset_episode_051,16,0.4180
dataset_episode_068,18,0.4980
dataset_episode_1105,27,0.4970
dataset_episode_1163,12,0.2080
dataset_episode_1250,21,0.4470
dataset_episode_131,8,0.2140
dataset_episode_1340,14,0.2270
dataset_episode_1463,12,0.3520
dataset_episode_1588,20,0.4240
dataset_episode_1623,14,0.4810
dataset_episode_1685,15,0.4720
dataset_episode_1725,22,0.4860
dataset_episode_173,24,0.5130
dataset_episode_1821,23,0.4730
dataset_episode_1956,24,0.4610
dataset_episode_202,15,0.4420
dataset_episode_2080,25,0.5440
dataset_episode_2151,19,0.3410
dataset_episode_2230,23,0.4540
dataset_episode_2413,25,0.5010
dataset_episode_2596,18,0.4780
dataset_episode_261,18,0.4050
dataset_episode_2632,14,0.3390
dataset_episode_2708,22,0.5430
dataset_episode_2731,16,0.2970
dataset_episode_2788,14,0.2890
dataset_episode_2814,23,0.4210
dataset_episode_285,17,0.4670
dataset_episode_2909,27,0.4740
dataset_episode_2943,21,0.4400
dataset_episode_2983,23,0.5230
dataset_episode_2989,18,0.2920
dataset_episode_2999,16,0.4060
dataset_episode_313,19,0.5470
dataset_episode_327,15,0.4250
dataset_episode_367,13,0.4030
dataset_episode_488,17,0.3150
dataset_episode_497,27,0.4940
dataset_episode_534,24,0.5420
dataset_episode_590,20,0.4380
dataset_episode_613,24,0.4950
dataset_episode_653,19,0.4830
dataset_episode_741,23,0.4590
dataset_episode_785,19,0.6060
dataset_episode_824,27,0.5910
dataset_episode_858,20,0.4620
dataset_episode_870,20,0.4530
dataset_episode_971,14,0.2450

__MEAN__,19.440,0.4370
__STD__,4.599,0.0968
