testdata,packed_item_count,SU
dataset_episode_012,29,0.7470
dataset_episode_040,24,0.4780
dataset_episode_051,23,0.5590
dataset_episode_068,30,0.6260
dataset_episode_1105,33,0.6470
dataset_episode_1163,30,0.6290
dataset_episode_1250,23,0.5430
dataset_episode_131,26,0.6320
dataset_episode_1340,23,0.3920
dataset_episode_1463,27,0.6990
dataset_episode_1588,22,0.4760
dataset_episode_1623,19,0.5660
dataset_episode_1685,16,0.4820
dataset_episode_1725,22,0.4180
dataset_episode_173,29,0.5920
dataset_episode_1821,28,0.6130
dataset_episode_1956,26,0.6080
dataset_episode_202,23,0.6950
dataset_episode_2080,26,0.5840
dataset_episode_2151,28,0.5960
dataset_episode_2230,29,0.5960
dataset_episode_2413,26,0.5330
dataset_episode_2596,21,0.5710
dataset_episode_261,26,0.5870
dataset_episode_2632,23,0.5340
dataset_episode_2708,24,0.5930
dataset_episode_2731,23,0.4570
dataset_episode_2788,18,0.4200
dataset_episode_2814,19,0.3490
dataset_episode_285,16,0.4510
dataset_episode_2909,33,0.7010
dataset_episode_2943,22,0.4740
dataset_episode_2983,29,0.6570
dataset_episode_2989,29,0.5770
dataset_episode_2999,12,0.2400
dataset_episode_313,20,0.6060
dataset_episode_327,20,0.5360
dataset_episode_367,25,0.5880
dataset_episode_488,21,0.4830
dataset_episode_497,33,0.6440
dataset_episode_534,19,0.4050
dataset_episode_590,24,0.5790
dataset_episode_613,26,0.5750
dataset_episode_653,21,0.5310
dataset_episode_741,27,0.6590
dataset_episode_785,19,0.6660
dataset_episode_824,28,0.6390
dataset_episode_858,23,0.5660
dataset_episode_870,26,0.5860
dataset_episode_971,21,0.4910

__MEAN__,24.200,0.5575
__STD__,4.580,0.0986
