1, 0.110000, 14
2, 0.108000, 18
3, 0.094000, 22
4, 0.142000, 26
5, 0.202000, 32
6, 0.222000, 36
7, 0.192000, 46
8, 0.160000, 50
9, 0.180000, 56
10, 0.173000, 54
11, 0.197000, 60
12, 0.183000, 62
13, 0.195000, 72
14, 0.186000, 72
15, 0.286000, 76
14, 0.174000, 74
15, 0.194000, 76
17, 0.216000, 86
19, 0.228000, 86
19, 0.210000, 96
20, 0.219000, 104
21, 0.223000, 102
23, 0.248000, 92
24, 0.250000, 98
25, 0.268000, 106
26, 0.262000, 102
26, 0.262000, 112
26, 0.252000, 102
27, 0.262000, 100
30, 0.395000, 108
31, 0.390000, 106
30, 0.298000, 106
30, 0.298000, 106
