testdata,packed_item_count,SU
dataset_episode_012,24,0.6030
dataset_episode_040,31,0.5800
dataset_episode_051,23,0.5610
dataset_episode_068,28,0.5780
dataset_episode_1105,31,0.5550
dataset_episode_1163,28,0.5230
dataset_episode_1250,30,0.6230
dataset_episode_131,19,0.4860
dataset_episode_1340,24,0.4520
dataset_episode_1463,28,0.8040
dataset_episode_1588,23,0.5360
dataset_episode_1623,21,0.6450
dataset_episode_1685,22,0.6760
dataset_episode_1725,16,0.3240
dataset_episode_173,24,0.5380
dataset_episode_1821,30,0.6220
dataset_episode_1956,30,0.6040
dataset_episode_202,22,0.6710
dataset_episode_2080,30,0.7040
dataset_episode_2151,25,0.4960
dataset_episode_2230,29,0.6010
dataset_episode_2413,32,0.6070
dataset_episode_2596,21,0.5710
dataset_episode_261,23,0.5260
dataset_episode_2632,23,0.5090
dataset_episode_2708,26,0.6560
dataset_episode_2731,20,0.4740
dataset_episode_2788,17,0.3820
dataset_episode_2814,25,0.4620
dataset_episode_285,21,0.5550
dataset_episode_2909,26,0.5860
dataset_episode_2943,29,0.6010
dataset_episode_2983,26,0.4540
dataset_episode_2989,26,0.5280
dataset_episode_2999,19,0.4650
dataset_episode_313,30,0.7600
dataset_episode_327,22,0.5660
dataset_episode_367,27,0.6470
dataset_episode_488,25,0.5590
dataset_episode_497,31,0.6900
dataset_episode_534,26,0.6250
dataset_episode_590,20,0.4380
dataset_episode_613,21,0.4720
dataset_episode_653,21,0.6070
dataset_episode_741,27,0.6590
dataset_episode_785,19,0.6260
dataset_episode_824,24,0.4810
dataset_episode_858,23,0.5550
dataset_episode_870,21,0.4880
dataset_episode_971,23,0.4520

__MEAN__,24.640,0.5637
__STD__,4.044,0.0931
